id,status,sort,name,type,crosses,breeder,effects,ailment,flavor,location,terpenes,thc,thca,thcv,cbd,cbda,cbdv,cbn,cbg,cbgm,cbgv,cbc,cbcv,cbv,cbe,cbt,cbl
48,1,0,Blackberry Hashplant,Indica,0,,"Euphoric, Sleepy, Uplifted, Energetic, Happy, Dry Mouth, Paranoid","Pain, Stress, Insomnia, Nausea","Berry, Sweet, Earthy",NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
49,1,0,Blackberry Kush,Hybrid,0,Unknown Breeder,"Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious","Stress, Pain, Insomnia, Depression, Nausea","Berry, Sweet, Earthy",", CA",NULL,1300,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50,1,0,Blockhead,Hybrid,0,Spice of Life Seeds,NULL,NULL,NULL,NULL,NULL,127,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
51,1,0,Blue Bayou,Hybrid,0,Unknown Breeder,"Uplifted, Creative, Happy, Sleepy, Dry Mouth","Nausea, Stress, Depression",Sweet,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
52,1,0,Blue Champagne,Hybrid,0,Unknown Breeder,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53,1,0,Blue Cheese,Hybrid,"40, 66",Big Buddha Seeds,"Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Anxious","Stress, Insomnia, Pain, Depression",Blueberry,NULL,NULL,127,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
54,1,0,Blue Crack,Hybrid,0,Unknown Breeder,NULL,NULL,NULL,NULL,NULL,127,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55,1,0,Blue Diesel,Hybrid,0,,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
56,1,0,Blue Dragon,Hybrid,0,Unknown Breeder,NULL,NULL,NULL,NULL,NULL,127,NULL,NULL,20,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
57,1,0,Blue Dream,Hybrid,0,Unknown Breeder,NULL,NULL,NULL,"Los Angeles, CA",NULL,2000,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
58,1,0,Blue Goo,Hybrid,0,Bluegrass Seeds,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
59,1,0,Blue Mystic,Hybrid,"66, 370",Unknown Breeder,"Relaxed, Happy, Uplifted, Sleepy, Dry Mouth, Paranoid, Anxious","Stress, Depression, Nausea","Blueberry, Earthy, Sweet",NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60,1,0,Blue OG,Hybrid,0,G13 Labs,NULL,NULL,NULL,NULL,NULL,127,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
61,1,0,Blue Rhino,Hybrid,0,Unknown Breeder,NULL,NULL,NULL,NULL,NULL,127,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
62,1,0,Blue Satellite,Hybrid,66,Spice of Life Seeds,"Happy, Energetic, Horny, Uplifted, Euphoric, Dry Mouth, Paranoid","Stress, Pain, Nausea, Inflammation","Sweet, Blueberry",NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
63,1,0,Blue Train,Hybrid,0,Unknown Breeder,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
64,1,0,Blue Widow,Hybrid,0,,NULL,NULL,NULL,NULL,NULL,127,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
65,1,0,Blueberry,Hybrid,0,DJ Short,"Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid, Anxious","Stress, Pain, Depression, Insomnia, Lack of Appetite","Blueberry, Sweet, Berry","Lakeside, CA",NULL,1600,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
66,1,0,Blueberry Diesel,Hybrid,0,Unknown Breeder,NULL,NULL,NULL,NULL,NULL,127,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
67,1,0,Blueberry Haze,Hybrid,0,DNA Genetics,NULL,NULL,NULL,"6150 White Oak Lane, CA",NULL,1200,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
68,1,0,Blueberry Headband,Hybrid,0,Emerald Triangle,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
69,1,0,Blueberry Kush,Indica,0,,"Relaxed, Happy, Euphoric, Sleepy, Hungry, Dry Mouth, Paranoid","Pain, Stress, Insomnia, Depression, Lack of Appetite","Blueberry, Berry, Sweet",NULL,NULL,127,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
70,1,0,Boysenberry,Hybrid,0,Bodhi Seeds,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
71,1,0,Brainstorm Haze,Hybrid,0,Delta-9 Labs,"Talkative, Happy, Uplifted, Focused, Energetic, Dry Mouth, Anxious","Pain, Muscle Spasms, Stress, Depression, Nausea","Sweet, Earthy",NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
72,1,0,Broke Diesel,Hybrid,0,Unknown Breeder,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
73,1,0,Bruce Banner,Hybrid,0,Delta 9 Caregivers,NULL,NULL,NULL,"Richmond, CA",NULL,1900,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
74,1,0,Bubba Kush,Hybrid,0,Unknown Breeder,"Relaxed, Happy, Sleepy, Euphoric, Hungry, Dry Mouth, Anxious, Paranoid","Pain, Stress, Insomnia, Depression, Lack of Appetite","Earthy, Sweet","Los Angeles, CA",NULL,1800,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
75,1,0,Bubba OG,Hybrid,0,Dr. Greenthumb Seeds,"Relaxed, Happy, Sleepy, Uplifted, Euphoric, Dry Mouth, Paranoid","Stress, Pain, Depression, Insomnia, Nausea","Earthy, Sweet","Los Angeles, CA",NULL,1600,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
76,1,0,Bubble Gum,Hybrid,0,Serious Seeds,NULL,NULL,NULL,"Bakersfield, CA",NULL,600,NULL,NULL,1000,NULL,NULL,100000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
77,1,0,Bubbleberry,Hybrid,"66, 77",Sagarmatha Seeds,NULL,NULL,NULL,NULL,NULL,127,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
78,1,0,Bubblegun,Hybrid,0,Unknown Breeder,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
79,1,0,Buddha's Sister,Hybrid,0,Soma,NULL,NULL,NULL,NULL,NULL,127,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80,1,0,Burmese Kush,Hybrid,0,,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81,1,0,Butterscotch,Indica,0,,"Euphoric, Focused, Creative, Relaxed, Energetic, Dry Mouth, Paranoid","Stress, Depression, Insomnia, Muscle Spasms, Pain",,NULL,NULL,127,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
82,1,0,C13 Haze,Hybrid,0,DNA Genetics,"Euphoric, Creative, Uplifted, Energetic, Dry Mouth, Paranoid","Pain, Stress, Muscle Spasms, Depression, Nausea","Earthy, Lemon",NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
83,1,0,Cannadential,Hybrid,0,DNA Genetics,NULL,NULL,NULL,NULL,NULL,127,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84,1,0,Cannalope Haze,Hybrid,0,DNA Genetics,"Happy, Relaxed, Focused, Uplifted, Euphoric, Dry Mouth, Paranoid, Anxious","Depression, Stress, Pain, Nausea","Sweet, Lime",NULL,NULL,127,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
85,1,0,Carmelicious,Hybrid,0,,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
86,1,0,Casey Jones,Hybrid,0,Head Seeds,"Euphoric, Energetic, Uplifted, Happy, Talkative, Dry Mouth, Paranoid, Anxious","Depression, Stress, Pain, Inflammation","Sweet, Earthy",NULL,NULL,127,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
87,1,0,Cat Piss,Hybrid,0,Unknown Breeder,"Happy, Energetic, Creative, Uplifted, Euphoric, Dry Mouth, Paranoid, Anxious","Stress, Depression, Pain, Lack of Appetite","Ammonia, Earthy",NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
88,1,0,Cataract Kush,Hybrid,0,DNA Genetics,NULL,NULL,NULL,"Upland, CA",NULL,1400,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
89,1,0,Champagne,Hybrid,"165, 180, 81",Unknown Breeder,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
90,1,0,Charlottes Web,Sativa,0,,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
91,1,0,Cheese,Hybrid,0,Unknown Breeder,NULL,NULL,NULL,", CA",NULL,1300,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
92,1,0,Chemdawg,Hybrid,0,Bud Rx Delivery,NULL,NULL,NULL,"Los Angeles, CA",NULL,1700,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
93,1,0,Chemdawg #4,Hybrid,0,Unknown Breeder,NULL,NULL,NULL,NULL,NULL,127,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94,1,0,Chernobyl,Hybrid,0,TGA Seeds,NULL,NULL,NULL,"Pomona, CA",NULL,1700,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
95,1,0,Cherry AK-47,Hybrid,0,Unknown Breeder,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
96,1,0,Cherry Bomb,Hybrid,"353, 562",Almighty Seeds,NULL,NULL,NULL,NULL,NULL,127,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
97,1,0,Cherry Kush,Organi,0,Carl D.,NULL,NULL,NULL,"Artesia, CA",NULL,1300,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
98,1,0,Chiesel,Sativa,0,Holistic Healing Collective,NULL,NULL,NULL,"Richmond, CA",NULL,2300,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
99,1,0,Chocolate Kush,Hybrid,0,DNA Genetics,"Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid","Stress, Pain, Insomnia, Lack of Appetite","Earthy, Coffee, Sweet",NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100,1,0,Chocolope,Sativa,0,WOSC,"Happy, Energetic, Uplifted, Euphoric, Creative, Dry Mouth, Anxious, Paranoid","Stress, Depression, Pain, Lack of Appetite","Earthy, Coffee, Sweet","Cypress, CA",NULL,1900,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
101,1,0,Church OG,Hybrid,0,Unknown Breeder,"Relaxed, Happy, Uplifted, Creative, Horny, Dry Mouth, Paranoid","Stress, Depression, Pain, Insomnia","Earthy, Citrus",NULL,NULL,127,NULL,NULL,20,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
102,1,0,Cinderella 99,Sativa,0,Holistic Healing Collective,NULL,NULL,NULL,"Richmond, CA",NULL,1200,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
103,1,0,Citrus Kush,Hybrid,0,,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
104,1,0,Connie Chung,Hybrid,0,DNA Genetics,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
