name,type,thc_level,most_common_terpene,relaxed,happy,euphoric,uplifted,sleepy,dry_mouth,dry_eyes,dizzy,paranoid,anxious,stress,pain,depression,anxiety,insomnia,hungry,talkative,headache,ptsd,creative,energetic,fatigue,focused,giggly,lack_of_appetite,nausea,headaches,bipolar_disorder,cancer,tingly,cramps,aroused,gastrointestinal_disorder,inflammation,muscle_spasms,eye_pressure,migraines,asthma,anorexia,arthritis,add_adhd,muscular_dystrophy,hypertension,glaucoma,pms,seizures,spasticity,spinal_cord_injury,fibromyalgia,crohns_disease,phantom_limb_pain,epilepsy,multiple_sclerosis,parkinsons,tourettes_syndrome,alzheimers,hiv_aids,tinnitus
Sour Maui,Sativa,0.23,Myrcene,0,0.8,0.68,0.62,0,0.22,0.25,0,0.05,0.05,0.4,0,0.31,0.28,0,0,0.51,0,0,0,0.6,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sour OG,Hybrid,0.2,Myrcene,0.55,0.6,0.48,0.45,0,0.25,0.16,0.05,0.04,0.04,0.36,0.27,0.27,0.31,0,0,0,0,0,0,0.31,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sour OG Cheese,Hybrid,0.18,Limonene,0,0.66,0.66,0.33,0.33,0,0,0,0,0,0,0.33,0.33,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0.33,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sour Oranges,,0.16,Myrcene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sour Papaya,Hybrid,,,0.6,0.6,0,0.2,0,0,0,0,0,0,0,0.4,0,0.2,0.2,0.4,0,0,0.2,0,0,0,0.4,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sour Patch Kiss,Hybrid,0.17,Caryophyllene,0.7,0.58,0,0.83,0,0.35,0.16,0.12,0,0.06,0.32,0.22,0.32,0.35,0,0,0,0.09,0,0.58,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sour Pebbles,Sativa,0.17,Terpinolene,0,0.75,0.57,0.64,0,0.25,0.03,0,0,0,0.35,0.25,0.39,0.17,0,0,0.5,0,0,0,0.6,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sour Petroleum,Hybrid,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sour Pez,Hybrid,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sour Poison,Sativa,,,0.57,0.42,0,0.42,0.28,0.28,0.14,0,0,0.14,0.42,0.28,0.42,0,0.14,0,0,0,0,0,0.42,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sour Power,Hybrid,0.23,Limonene,0.56,0.66,0.46,0.61,0,0.15,0.12,0.02,0.05,0.05,0.3,0,0.33,0.28,0,0,0.51,0,0,0,0,0.25,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sour Power OG,Hybrid,0.2,Limonene,0.55,0.33,0,0.33,0.33,0.22,0.22,0,0.11,0.11,0.33,0.22,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0.22,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sour Puss,Hybrid,0.19,Limonene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sour Ray,,0.17,Limonene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sour Sorbet,Hybrid,0.2,Myrcene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sour Space Candy,Hybrid,0.15,Myrcene,0.68,0.51,0.31,0.62,0,0.06,0.06,0.03,0,0,0.41,0,0.2,0.41,0.24,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sour Spyder,Indica,,,1,0.75,1,0.5,0,0.25,0,0,0,0,0.5,0.5,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sour Star Head,Sativa,,,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sour Strawberry,Hybrid,0.15,Myrcene,0.66,0,0.77,0.77,0,0.22,0.22,0,0,0,0,0,0.22,0.22,0.11,0.55,0,0,0,0,0,0,0.55,0,0,0,0.11,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sour Strawberry Diesel,Hybrid,0.15,Myrcene,0.62,0.68,0.48,0.54,0,0.22,0.08,0.05,0.02,0.02,0.34,0,0.22,0.25,0.2,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sour StrawburieD,Hybrid,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sour Sunset,Hybrid,0.18,Myrcene,0.7,0.68,0.68,0.56,0,0.24,0.14,0.02,0,0.02,0.48,0.24,0.46,0.26,0,0,0,0.02,0,0,0,0,0.41,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sour Tangie,Sativa,0.18,Myrcene,0,0.53,0.41,0.51,0,0.16,0.09,0.04,0,0.04,0.28,0.14,0.29,0.18,0,0,0,0.02,0,0.35,0.41,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sour Tropicana,Hybrid,0.19,Myrcene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sour Tsunami,Hybrid,0.12,Myrcene,0.67,0.4,0.21,0.3,0,0.13,0.06,0.01,0,0.01,0.37,0.4,0.23,0.34,0,0,0,0.03,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
