strain,type,rating,effects_1,effects_2,effects_3,effects_4,effects_5,flavor_1,flavor_2,flavor_3,flavor_4
Gto,hybrid,4,Energetic,Focused,Uplifted,Creative,Euphoric,Blueberry,,,
Guard-Dawg,indica,4.2,Happy,Relaxed,Sleepy,Euphoric,,Diesel,Sweet,Earthy,
Guava-Chem,hybrid,4.5,Relaxed,Creative,Happy,Focused,Euphoric,Tropical,Sweet,Chemical,
Guava-Gelato,hybrid,4.3,Sleepy,Euphoric,Happy,Relaxed,Uplifted,Mint,Grapefruit,Tropical,
Guava-Kush,hybrid,4.1,Relaxed,Sleepy,Happy,Uplifted,Euphoric,Sweet,Tropical,Peach,
Cannasutra,indica,4.8,Relaxed,Euphoric,Sleepy,Happy,Aroused,Earthy,Sweet,Berry,
Gucci-Og,hybrid,4.7,Euphoric,Happy,Uplifted,Relaxed,Energetic,Pine,Lemon,Sweet,
Caramelo,sativa,4.1,Energetic,Happy,Uplifted,Relaxed,Talkative,Sweet,Coffee,Vanilla,
Guido-Kush,indica,4.1,Euphoric,Uplifted,Creative,Relaxed,Sleepy,,,,
Carl-Sagan,hybrid,4.4,Happy,Relaxed,Uplifted,Focused,Aroused,Sweet,Earthy,Pine,
Gumbo,indica,4.6,Relaxed,Euphoric,Happy,Sleepy,Hungry,Earthy,Sweet,Flowery,
Gummo,hybrid,5,Euphoric,Uplifted,Happy,Relaxed,Aroused,Citrus,Sweet,Orange,
Gummy-Bears,hybrid,4.2,Relaxed,Uplifted,Happy,Euphoric,Sleepy,Sweet,Berry,Strawberry,
Gupta-Haze,hybrid,5,Relaxed,Happy,Sleepy,Euphoric,Giggly,Earthy,Citrus,Lemon,
Gupta-Kush,hybrid,4.3,Relaxed,Sleepy,Hungry,Aroused,Happy,Sweet,Earthy,Woody,
Guptilla,hybrid,5,Happy,Relaxed,Euphoric,Focused,Sleepy,Grape,Pepper,Orange,
Gutbuster,indica,4.5,Relaxed,Sleepy,Giggly,Tingly,Happy,Blueberry,Woody,Berry,
Cannatonic,hybrid,4.3,Relaxed,Happy,Uplifted,Focused,Euphoric,Earthy,Woody,Sweet,
Capers,indica,4.6,Sleepy,Happy,Hungry,Relaxed,Uplifted,Pungent,Skunk,Earthy,
Capleton,hybrid,4,Sleepy,Tingly,Euphoric,Giggly,Happy,Flowery,Lavender,Rose,
Captain-America-Og,hybrid,4.6,Relaxed,Uplifted,Euphoric,Creative,Happy,Diesel,Berry,Orange,
Captains-Cake,hybrid,4.7,Euphoric,Relaxed,Energetic,Happy,Focused,Earthy,Citrus,Sweet,
Caramel-Candy-Kush,hybrid,4.6,Relaxed,Happy,Focused,Creative,Talkative,Vanilla,Coffee,Sweet,
Caramel-Kona-Coffee-Cookies,hybrid,0,None,,,,,None,,,
Caramel-Kona-Coffee-Kush,indica,4.5,Relaxed,Uplifted,Tingly,Hungry,Happy,Coffee,Vanilla,Woody,
Caramelicious,hybrid,4.2,Focused,Happy,Relaxed,Euphoric,Creative,Vanilla,Sweet,Coffee,
Caramella,indica,4.8,Aroused,Euphoric,Relaxed,,,Menthol,Spicy/Herbal,Sweet,
Carnival,sativa,4.3,Talkative,Uplifted,Happy,Energetic,Relaxed,Earthy,Pine,,
Cascadia-Kush,indica,4.6,Relaxed,Tingly,Sleepy,Aroused,Uplifted,Sweet,Earthy,Flowery,
Casey-Jones,sativa,4.2,Uplifted,Happy,Energetic,Creative,Hungry,Earthy,Sweet,Citrus,
Cashus-Clay,hybrid,4.2,Uplifted,Euphoric,Happy,Talkative,Energetic,Earthy,Pungent,Butter,
Casper-Og,indica,5,Relaxed,Sleepy,Euphoric,Hungry,Uplifted,Earthy,Sweet,Pungent,
Cat-Piss,sativa,3.9,Happy,Uplifted,Euphoric,Relaxed,Talkative,Earthy,Woody,Blue,Cheese
Cataract-Kush,hybrid,4.4,Relaxed,Happy,Hungry,Euphoric,Uplifted,Pungent,Citrus,Sweet,
Catfish,sativa,4.8,Uplifted,Creative,Energetic,Euphoric,Happy,Earthy,Ammonia,Chemical,
Cbd-Blue-Shark,hybrid,4.3,Relaxed,Happy,Uplifted,Focused,Euphoric,Blueberry,Flowery,Earthy,
Cbd-Critical-Cure,indica,4.6,Relaxed,Sleepy,Happy,Focused,Euphoric,Sweet,Earthy,Berry,
Chairman-Chem-Sou,hybrid,4.4,Energetic,Happy,Uplifted,Creative,Euphoric,Diesel,Pepper,Citrus,
Champagne-Kush,hybrid,4.2,Happy,Uplifted,Relaxed,Euphoric,Talkative,Citrus,Sweet,Earthy,
Charlie-Sheen,hybrid,4.6,Happy,Euphoric,Relaxed,Sleepy,Focused,Pine,Sweet,Lemon,
Charlottes-Web,sativa,4.5,Relaxed,Uplifted,Focused,Happy,Energetic,Earthy,Flowery,Sweet,
Cheese,hybrid,4.1,Relaxed,Happy,Euphoric,Uplifted,Hungry,Cheese,Earthy,Pungent,
Cheese-Candy,hybrid,4.3,Relaxed,Uplifted,Happy,Sleepy,Creative,Cheese,Sweet,Pungent,
Cheese-Quake,hybrid,4.3,Euphoric,Uplifted,Relaxed,Tingly,Happy,Ammonia,Citrus,Rose,
El-Chapo-Og,indica,4.7,Relaxed,Happy,Uplifted,Sleepy,Euphoric,Earthy,Flowery,Pungent,
El-Jeffe,indica,4.7,Euphoric,Relaxed,Happy,Tingly,Uplifted,Earthy,Pungent,Pine,
El-Na,hybrid,5,Aroused,Tingly,Happy,Relaxed,,Earthy,Pungent,Pine,
El-Nino,hybrid,3.8,Happy,Sleepy,Relaxed,Uplifted,Talkative,Earthy,Woody,Spicy/Herbal,
El-Perro,hybrid,4.9,Happy,Relaxed,Uplifted,Euphoric,Sleepy,Pine,Earthy,Pungent,
Elderberry-Kush,hybrid,4.1,Relaxed,Happy,Hungry,Sleepy,Euphoric,Berry,Woody,Earthy,
Electric-Black-Mamba,indica,5,Relaxed,Uplifted,Creative,Sleepy,Euphoric,Earthy,Pine,,
Electric-Kool-Aid,hybrid,4.8,Happy,Uplifted,Talkative,Euphoric,Giggly,Berry,Grape,Diesel,
Electric-Lemon-G,sativa,4.2,Euphoric,Happy,Focused,Uplifted,Energetic,Lemon,Citrus,Lime,
Electric-Lemonade,sativa,4.8,Creative,Happy,Tingly,Uplifted,Energetic,Berry,Orange,Lemon,
Elephant,sativa,4,Sleepy,Happy,Euphoric,Focused,Aroused,Sweet,Earthy,Tropical,
Elmers-Glue,hybrid,4.8,Hungry,Relaxed,Uplifted,Euphoric,Focused,Sage,Pepper,Sweet,
