id,name,type,crosses,breeder,effects,ailment,flavor,location,terpenes,thc,thca,thcv,cbd,cbda,cbn,cbgm,cbgv,cbc,cbcv,cbv,cbe,cbt,cbl
5251,White Cheese,Hybrid,,Zambeza Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5252,UFO Moon Rocks,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5253,Azure Haze,Hybrid,,DJ Short,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5254,Quimby,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5255,Platinum Banana Cookies,Hybrid,,Riot Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5256,Northern OG,Hybrid,,Gage Green Group,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5257,Skunk Diesel,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5258,Ewe 2,Hybrid,,Humboldt Seed Company,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5259,Night Wreck,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5260,Strawberry Split,Hybrid,,Dank Genetics,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5261,Master Trainwreck,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5262,Strawberry Diesel (Holy Smoke),Hybrid,,Holy Smoke Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5263,Purple Grape Kool Aid,Hybrid,,CannaVenture,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5264,Jazz Berry Jam,Hybrid,,CannaVenture,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5265,Glue OG,Hybrid,,Relentless Genetics,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5266,SFV OG / Banana,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5267,Melon Haze,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5268,Dutch Wreck,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5269,Neo,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5270,Chocolate MInt OG,Hybrid,,Humboldt Seed Organisation,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5271,Goki Headband,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5272,Nebula II CBD,Hybrid,,Paradise Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5273,Blue Nebula,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5274,Tangielime,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5275,Hard Fuel Og,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5276,Cascadia,Hybrid,,Hesperides Gardens,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5277,Hash Plant x Afgoo,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5278,Sierra CBD,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5279,White Phantom,Hybrid,,Oregon Microgrowers Guild,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5280,Polynesian Thin Mints,Hybrid,,Archive Seed Bank,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5281,Phantom of the Cookies,Hybrid,,Oregon Microgrowers Guild,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5282,Mendo Cookies,Hybrid,,Oregon Microgrowers Guild,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5283,Key Lime Custard,Hybrid,,Oregon Microgrowers Guild,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5284,Gluttony,Hybrid,,Illuminati Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5285,Girls Gone Wild,Hybrid,,Cosa Pharms Seed Co.,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5286,VCDC x ZOD,Hybrid,,Moxie Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5287,Peach Tea,Hybrid,,Moxie Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5288,Merlot OG (Moxie),Hybrid,,Moxie Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5289,Viper City Og XIII,Hybrid,,Moxie Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5290,Glue Diamond Phillips,Hybrid,,Moxie Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5291,Diamond Candy,Hybrid,,Moxie Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5292,ZOD OG,Hybrid,,Moxie Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5293,Goji x Golden Cobra,Hybrid,,Moxie Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5294,Golden Cobra,Hybrid,,Moxie Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5295,Purple Tahoe OG,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5296,Auto Purple Amnesia,Hybrid,,Short Stuff,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5297,Guerilla Gold,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5298,Afghan x Mighty Mite,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5299,Early Gold,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5300,Manitoba Madness,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5301,Bubba Yum,Hybrid,,Dr. Krippling,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5302,Deep Sleep (P.O. 4),Hybrid,,Progressive Options,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5303,Sour Jefe,Hybrid,,Sin City Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5304,Blue Lemon Thai,Hybrid,,CH9 Female Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5305,Pink Cloud,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5306,Blue Chiesel,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5307,Sour Chiesel,Hybrid,,Big Buddha Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5308,Bubba Skywalker,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5309,Blackberry Skywalker,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5310,Wrecked Cookies,Hybrid,,Riot Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5311,Silver Velvet,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5312,Royal AK,Hybrid,,Royal Queen,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5313,Wonka OG,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5314,Galactic Glue,Hybrid,,Alpha Kronik Genes,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5315,Caramel,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5316,Wonka Chem F2,Hybrid,,GreenMan Organics,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5317,Lavender Chunk,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5318,Sacred Dream,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5319,Dynamite Sour Diesel,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5320,Black Diamond Purple Urkle,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5321,Black Diamond Ghost GDP,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5322,Black Ice Gelato #41,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5323,Zilla OG,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5324,Black Budha,Hybrid,,Sagarmatha Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5325,Blue Glue,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5326,Emerald Dream ,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5327,Cookies N Dream,Hybrid,,Lumpy Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5328,Amnesia Trance,Hybrid,,Amsterdam Marijuana Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5329,Jerp OG,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5330,Swamp Punch,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5331,Lemon Dawg,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5332,Tutankhamon (King Tut),Hybrid,,Pyramid Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5333,OG Kush Express,Hybrid,,Xtreme Seeds Co.,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5334,KushZilla,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5335,Blackberry OG,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5336,Sour LA Confidential,Hybrid,,The Bank Cannabis Genetics,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5337,Pineapple Sutra,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5338,Pineapple Express x Blue Cheese,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5339,Purple Snowman,Hybrid,,Gage Green Group,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5340,White Grape Dawg,Hybrid,,Riot Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5341,Black Gorilla Grape,Hybrid,,Riot Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5342,Black Russian x Double Purple Doja,Hybrid,,Riot Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5343,Grape Lemonaid Dawg,Hybrid,,Smoke-A-Lot,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5344,Fire Bubba,Hybrid,,Og Raskal,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5345,Dutch Queen,Hybrid,,Buddy Boy Farm,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5346,Cherry Alien Dawg,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5347,Chem n Tonic,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5348,CBD Shark Shock,Hybrid,,CBD Crew,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5349,Bubba Cheese Auto,Hybrid,,Emerald Triangle,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5350,Blackberry Goo,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5351,Snoop,Hybrid,,Apothecary Seed Company,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5352,Leia OG,Hybrid,,Gage Green Group,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5353,Sour Skunk,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5354,Sour Thai CBD,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5355,King Cookie,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5356,Lemon Mazar,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5357,Orange Pineapple,Hybrid,,Cropi-Canna Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5358,Loud Hawaiian Punch,Hybrid,,Loud Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5359,Sour Chem Scout,Hybrid,,Loud Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5360,Charity OG,Hybrid,,Gage Green Group,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5361,OB Ripper,Hybrid,,Gage Green Group,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5362,Ocean Beach OG,Hybrid,,Gage Green Group,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5363,Purfect,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5364,Mammoth,Hybrid,,The Bank Cannabis Genetics,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5365,Siberian Ruderalis,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5366,Jamaican Me Crazy,Hybrid,,The Cali Connection,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5367,White Forest,Hybrid,,Cabin Fever Seed Breeders,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5368,Forest Fire,Hybrid,,Cabin Fever Seed Breeders,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5369,Cherry AK x Purple Punch,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5370,Lemon Skunk x Harlequin,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5371,OG Chem,Hybrid,,Connoisseur Genetics,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5372,Chemdawg D / OG Kush,Hybrid,,Connoisseur Genetics,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5373,Silversurfer Haze,Hybrid,,Blim Burn,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5374,Widow Diesel,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5375,Purple Sativa x Tahoe OG Kush,Hybrid,,New Oaxacan,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5376,Truth Serum,Hybrid,,Pisces Genetics,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5377,Hey Dave,Hybrid,,Connoisseur Genetics,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5378,Silver Skunk,Hybrid,,South Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5379,Blue Rhino (Dane Strains),Hybrid,,Dane Strains,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5380,Trainwreck x OG Kush,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5381,Purple Pineapple,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5382,Fruit Loop Haze,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5383,Super Lemon Jack,Hybrid,,Scorpion Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5384,Orange Drop Cookies,Hybrid,,Gold Drop Gardens,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5385,Sour Fire,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5386,Death Purple,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5387,PKR,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5388,Orange Nectar,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5389,Radioactive Kush,Hybrid,,Area 51,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5390,Calypso,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5391,Crystal Goddess,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5392,AK-47 x Grapefruit,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5393,Grand Daddy Punch,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5394,Orange Cookies,Hybrid,,Franchise Genetics,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5395,California Orange x OG Kush (COOG),Hybrid,,Gage Green Group,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5396,Orange Juice,Hybrid,,Gage Green Group,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5397,Platinum Diesel,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5398,Plane Wreck,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5399,The Wow,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5400,Cypress OG,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5401,Moondog,Hybrid,,Loompa Farms,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5402,Hardglue,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5403,Parcore OG,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5404,Skywalker Haze,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5405,Cherry Chocolope,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5406,Purple Wifi,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5407,Crystal M.E.T.H.,Hybrid,,Dr. Underground,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5408,Critical Bilbo,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5409,Melon Gum,Hybrid,,Dr. Underground,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5410,Delhi Cheese,Hybrid,,Vision Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5411,Critical Impact,Hybrid,,Vision Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5412,Lemon Cleaner OG,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5413,Bro-G,Hybrid,,Archive Seed Bank,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5414,Face On Fire,Hybrid,,Archive Seed Bank,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5415,Colombian Malawi,Hybrid,,Equilibrium Genetics,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5416,Romulawi,Hybrid,,Equilibrium Genetics,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5417,Pinky Dinky,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5418,Critical Skunk,Hybrid,,Mr. Nice,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5419,La Blanca Gold,Hybrid,,Vision Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5420,Blueberry Bliss (AutoFem),Hybrid,,Vision Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5421,Blue Power (Vision Seeds),Hybrid,,Vision Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5422,Area 51,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5423,ACDC x Boost,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5424,Blackberry Panty Dropper,Hybrid,,Humboldt Seed Company,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5425,Blueberry Muffin (Humboldt),Hybrid,,Humboldt Seed Company,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5426,Oregon Grape,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5427,Purple Mountain Majesty,Hybrid,,Humboldt Seed Company,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5428,Strawberry Creme (Riot Seeds),Hybrid,,Riot Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5429,Strawberry Creme,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5430,Auto Pink Grapefruit,Hybrid,,Short Stuff,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5431,SF OG Kush,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5432,Burning Desire,Hybrid,,Gage Green Group,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5433,Burgundy,Hybrid,,Gage Green Group,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5434,Raspberry Bubba,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5435,ECSD x HP13,Hybrid,,Gage Green Group,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5436,Bright Puff,Hybrid,,Gage Green Group,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5437,Bright Floral Lift,Hybrid,,Gage Green Group,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5438,Breakout,Hybrid,,Gage Green Group,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5439,Blue in Green,Hybrid,,Gage Green Group,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5440,Blue Flame,Hybrid,,Gage Green Group,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5441,Blanco Berry Kush,Hybrid,,Gage Green Group,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5442,Bianca Fire,Hybrid,,Gage Green Group,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5443,Banana Puff,Hybrid,,Gage Green Group,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5444,Aspirare,Hybrid,,Gage Green Group,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5445,Miss Colombia,Hybrid,,Gage Green Group,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5446,Cindy La Pew,Hybrid,,Gage Green Group,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5447,Blue Persuasion,Hybrid,,Buds Pasco,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5448,Tembo Kush,Hybrid,,Buds Pasco,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5449,Space Queen F3,Hybrid,,The Seekers Of Genetic Wisdom,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5450,PM Dawn,Hybrid,,The Seekers Of Genetic Wisdom,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5451,Purple Monkey Balls (SnowHigh),Hybrid,,SnowHigh Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5452,Ms. Moon Dancer,Hybrid,,The Seekers Of Genetic Wisdom,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5453,Shiskeberry x Olâ€™ Timers Mango Haze,Hybrid,,Bald Man Lala,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5454,Oltimers Mango Haze,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5455,Oldtimers Haze,Hybrid,,ACE Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5456,Lady Lavenberry,Hybrid,,The Seekers Of Genetic Wisdom,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5457,Pink Lady,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5458,Cosmic Bubba Kush,Hybrid,,The Seekers Of Genetic Wisdom,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5459,Lavender Am. Core,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5460,Core Cut (Amnesia),Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5461,Spider Bike V2 x Monster Cookies,Hybrid,,Greenpoint Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5462,Tres Sister x Monster Cookies,Hybrid,,Greenpoint Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5463,Tres Sister,Hybrid,,Top Dawg Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5464,Spiderbite,Hybrid,,Dynasty Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5465,Lemon G x Monster Cookies,Hybrid,,Greenpoint Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5466,Gorilla Glue #4 x Monster Cookies,Hybrid,,Greenpoint Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5467,Bubba x Monster Cookies,Hybrid,,Greenpoint Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5468,Death Dawg x Monster Cookies,Hybrid,,Greenpoint Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5469,Alien Stardawg x Monster Cookies,Hybrid,,Greenpoint Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5470,Spaced Alien Queen,Hybrid,,The Seekers Of Genetic Wisdom,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5471,Chrome Diesel,Hybrid,,Aerick 77,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5472,Iron Dawg Diesel,Hybrid,,The Seekers Of Genetic Wisdom,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5473,Death Dawg,Hybrid,,The Seekers Of Genetic Wisdom,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
