id,name,type,crosses,breeder,effects,ailment,flavor,location,terpenes,thc,thca,thcv,cbd,cbda,cbn,cbgm,cbgv,cbc,cbcv,cbv,cbe,cbt,cbl
306,Pure Afghan,Hybrid,0,DNA Genetics,"Relaxed, Sleepy, Happy, Hungry, Creative, Dry Mouth, Paranoid","Insomnia, Pain, Stress, Depression",Earthy,,,0,,,0,,0,,,,,,,,
307,Pure Kush,Indica,0,Uprising Seed Co.,"Relaxed, Sleepy, Euphoric, Happy, Hungry, Dry Mouth, Paranoid","Pain, Insomnia, Stress, Nausea","Earthy, Skunk",", CA",,1900,,,0,,0,,,,,,,,
308,Pure OG,Indica,0,Jade Lotus Collective,"Relaxed, Sleepy, Happy, Euphoric, Uplifted, Dry Mouth, Paranoid","Stress, Pain, Insomnia, Nausea, Inflammation","Earthy, Pine","Garden Grove, CA",,1500,,,0,,0,,,,,,,,
309,Pure Power Plant,Hybrid,0,White Label Co.,,,,,,0,,,0,,0,,,,,,,,
310,Purple Afghani,Hybrid,0,BC Bud Depot,"Relaxed, Sleepy, Happy, Euphoric, Uplifted, Dry Mouth, Anxious","Stress, Pain, Insomnia, Depression","Sweet, Grape",,,116,,,0,,0,,,,,,,,
311,Purple Arrow,Hybrid,0,Phat Panda,,,,,,0,,,0,,0,,,,,,,,
312,Purple Buddha,Hybrid,0,BC Bud Depot,"Euphoric, Relaxed, Happy, Creative, Focused, Dry Mouth, Paranoid","Insomnia, Stress, Pain, Depression","Berry, Sweet, Grape",,,0,,,0,,0,,,,,,,,
313,Purple Candy,Hybrid,0,Unknown Breeder,"Relaxed, Happy, Sleepy, Euphoric, Hungry, Dry Mouth, Paranoid","Insomnia, Stress, Pain, Depression, Muscle Spasms","Sweet, Grape, Earthy",,,0,,,0,,0,,,,,,,,
314,Purple Cream,Hybrid,0,Unknown Breeder,"Relaxed, Happy, Sleepy, Hungry, Dry Mouth, Paranoid, Anxious","Stress, Pain, Insomnia, Depression","Pine, Sweet",,,127,,,0,,0,,,,,,,,
315,Purple Diesel,Hybrid,0,Unknown Breeder,,,,"Morongo Basin, CA",,1200,,,0,,0,,,,,,,,
316,Purple Dragon,Indica,0,Purple Dragon Farms,"Relaxed, Euphoric, Uplifted, Happy, Dry Mouth, Paranoid, Anxious","Stress, Insomnia, Depression, Pain","Grape, Earthy, Sweet","Willow Creek, CA",,1200,,,0,,0,,,,,,,,
317,Purple Dream,Hybrid,0,The Global Seedbank,,,,,,127,,,40,,30,,,,,,,,
318,Purple Goo,Hybrid,0,Unknown Breeder,"Relaxed, Euphoric, Happy, Talkative, Hungry, Dry Mouth, Paranoid","Stress, Pain, Depression","Lavender, Pine",,,0,,,0,,0,,,,,,,,
319,Purple Hashplant,Hybrid,0,Unknown Breeder,,,,,,0,,,0,,0,,,,,,,,
320,Purple Haze,Hybrid,0,White Label Co.,"Euphoric, Happy, Uplifted, Relaxed, Creative, Dry Mouth, Paranoid","Depression, Stress, Pain","Earthy, Sweet, Berry",,,127,,,0,,0,,,,,,,,
321,Purple Ice,Hybrid,0,Nirvana,,,,"Richmond, CA",,1900,,,100,,10000,,,,,,,,
322,Purple Kush,Hybrid,0,Unknown Breeder,"Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid","Stress, Pain, Insomnia, Depression, Muscle Spasms","Earthy, Berry, Grape",,,127,,,5,,7,,,,,,,,
